PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=155 ttl=54 time=25.7 ms
64 bytes from 8.8.8.8: icmp_seq=156 ttl=54 time=19.3 ms
64 bytes from 8.8.8.8: icmp_seq=157 ttl=54 time=24.1 ms
64 bytes from 8.8.8.8: icmp_seq=158 ttl=54 time=23.7 ms
64 bytes from 8.8.8.8: icmp_seq=159 ttl=54 time=53.5 ms
64 bytes from 8.8.8.8: icmp_seq=160 ttl=54 time=18.4 ms
64 bytes from 8.8.8.8: icmp_seq=161 ttl=54 time=21.2 ms
64 bytes from 8.8.8.8: icmp_seq=162 ttl=54 time=20.7 ms
64 bytes from 8.8.8.8: icmp_seq=163 ttl=54 time=18.6 ms
64 bytes from 8.8.8.8: icmp_seq=164 ttl=54 time=25.2 ms
64 bytes from 8.8.8.8: icmp_seq=165 ttl=54 time=28.3 ms
64 bytes from 8.8.8.8: icmp_seq=166 ttl=54 time=27.7 ms
64 bytes from 8.8.8.8: icmp_seq=167 ttl=54 time=16.7 ms
64 bytes from 8.8.8.8: icmp_seq=168 ttl=54 time=21.2 ms
64 bytes from 8.8.8.8: icmp_seq=169 ttl=54 time=25.2 ms
64 bytes from 8.8.8.8: icmp_seq=170 ttl=54 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=171 ttl=54 time=23.7 ms
64 bytes from 8.8.8.8: icmp_seq=172 ttl=54 time=22.7 ms
64 bytes from 8.8.8.8: icmp_seq=173 ttl=54 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=174 ttl=54 time=20.7 ms
64 bytes from 8.8.8.8: icmp_seq=175 ttl=54 time=29.4 ms
64 bytes from 8.8.8.8: icmp_seq=176 ttl=54 time=29.0 ms
64 bytes from 8.8.8.8: icmp_seq=177 ttl=54 time=28.8 ms
64 bytes from 8.8.8.8: icmp_seq=178 ttl=54 time=26.3 ms
64 bytes from 8.8.8.8: icmp_seq=179 ttl=54 time=39.4 ms
64 bytes from 8.8.8.8: icmp_seq=180 ttl=54 time=26.5 ms
64 bytes from 8.8.8.8: icmp_seq=181 ttl=54 time=25.7 ms
64 bytes from 8.8.8.8: icmp_seq=182 ttl=54 time=18.9 ms
64 bytes from 8.8.8.8: icmp_seq=183 ttl=54 time=19.0 ms
64 bytes from 8.8.8.8: icmp_seq=184 ttl=54 time=32.8 ms
64 bytes from 8.8.8.8: icmp_seq=185 ttl=54 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=186 ttl=54 time=14.9 ms
64 bytes from 8.8.8.8: icmp_seq=187 ttl=54 time=29.6 ms
64 bytes from 8.8.8.8: icmp_seq=188 ttl=54 time=26.8 ms
64 bytes from 8.8.8.8: icmp_seq=189 ttl=54 time=25.7 ms
64 bytes from 8.8.8.8: icmp_seq=190 ttl=54 time=24.5 ms
64 bytes from 8.8.8.8: icmp_seq=191 ttl=54 time=24.1 ms
64 bytes from 8.8.8.8: icmp_seq=192 ttl=54 time=18.8 ms
64 bytes from 8.8.8.8: icmp_seq=193 ttl=54 time=15.9 ms
64 bytes from 8.8.8.8: icmp_seq=194 ttl=54 time=21.6 ms
64 bytes from 8.8.8.8: icmp_seq=195 ttl=54 time=20.7 ms
64 bytes from 8.8.8.8: icmp_seq=196 ttl=54 time=30.0 ms
64 bytes from 8.8.8.8: icmp_seq=197 ttl=54 time=29.4 ms
64 bytes from 8.8.8.8: icmp_seq=198 ttl=54 time=28.5 ms
64 bytes from 8.8.8.8: icmp_seq=199 ttl=54 time=42.2 ms
64 bytes from 8.8.8.8: icmp_seq=200 ttl=54 time=18.5 ms
64 bytes from 8.8.8.8: icmp_seq=201 ttl=54 time=16.8 ms
64 bytes from 8.8.8.8: icmp_seq=202 ttl=54 time=21.3 ms
64 bytes from 8.8.8.8: icmp_seq=203 ttl=54 time=24.9 ms
64 bytes from 8.8.8.8: icmp_seq=204 ttl=54 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=205 ttl=54 time=23.7 ms
64 bytes from 8.8.8.8: icmp_seq=206 ttl=54 time=23.2 ms
64 bytes from 8.8.8.8: icmp_seq=207 ttl=54 time=22.4 ms
64 bytes from 8.8.8.8: icmp_seq=208 ttl=54 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=209 ttl=54 time=20.7 ms
64 bytes from 8.8.8.8: icmp_seq=210 ttl=54 time=19.8 ms
64 bytes from 8.8.8.8: icmp_seq=211 ttl=54 time=28.8 ms
64 bytes from 8.8.8.8: icmp_seq=212 ttl=54 time=27.6 ms
64 bytes from 8.8.8.8: icmp_seq=213 ttl=54 time=26.7 ms
64 bytes from 8.8.8.8: icmp_seq=214 ttl=54 time=25.7 ms
64 bytes from 8.8.8.8: icmp_seq=215 ttl=54 time=34.8 ms
64 bytes from 8.8.8.8: icmp_seq=216 ttl=54 time=18.8 ms
64 bytes from 8.8.8.8: icmp_seq=217 ttl=54 time=22.6 ms
64 bytes from 8.8.8.8: icmp_seq=218 ttl=54 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=219 ttl=54 time=41.7 ms
64 bytes from 8.8.8.8: icmp_seq=220 ttl=54 time=18.6 ms
64 bytes from 8.8.8.8: icmp_seq=221 ttl=54 time=29.0 ms
64 bytes from 8.8.8.8: icmp_seq=222 ttl=54 time=28.7 ms
64 bytes from 8.8.8.8: icmp_seq=223 ttl=54 time=27.8 ms
64 bytes from 8.8.8.8: icmp_seq=224 ttl=54 time=26.6 ms
64 bytes from 8.8.8.8: icmp_seq=225 ttl=54 time=25.7 ms
64 bytes from 8.8.8.8: icmp_seq=226 ttl=54 time=24.8 ms
64 bytes from 8.8.8.8: icmp_seq=227 ttl=54 time=23.8 ms
64 bytes from 8.8.8.8: icmp_seq=228 ttl=54 time=22.7 ms
64 bytes from 8.8.8.8: icmp_seq=229 ttl=54 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=230 ttl=54 time=20.8 ms
64 bytes from 8.8.8.8: icmp_seq=231 ttl=54 time=29.8 ms
64 bytes from 8.8.8.8: icmp_seq=232 ttl=54 time=28.8 ms
64 bytes from 8.8.8.8: icmp_seq=233 ttl=54 time=27.7 ms
64 bytes from 8.8.8.8: icmp_seq=234 ttl=54 time=26.7 ms
64 bytes from 8.8.8.8: icmp_seq=235 ttl=54 time=21.9 ms
64 bytes from 8.8.8.8: icmp_seq=236 ttl=54 time=24.6 ms
64 bytes from 8.8.8.8: icmp_seq=237 ttl=54 time=23.7 ms
64 bytes from 8.8.8.8: icmp_seq=238 ttl=54 time=22.7 ms
64 bytes from 8.8.8.8: icmp_seq=239 ttl=54 time=44.8 ms
64 bytes from 8.8.8.8: icmp_seq=240 ttl=54 time=45.7 ms
64 bytes from 8.8.8.8: icmp_seq=241 ttl=54 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=242 ttl=54 time=28.9 ms
64 bytes from 8.8.8.8: icmp_seq=243 ttl=54 time=26.1 ms
64 bytes from 8.8.8.8: icmp_seq=244 ttl=54 time=22.3 ms
64 bytes from 8.8.8.8: icmp_seq=245 ttl=54 time=15.6 ms
64 bytes from 8.8.8.8: icmp_seq=246 ttl=54 time=26.1 ms
64 bytes from 8.8.8.8: icmp_seq=247 ttl=54 time=19.0 ms
64 bytes from 8.8.8.8: icmp_seq=248 ttl=54 time=25.5 ms
64 bytes from 8.8.8.8: icmp_seq=249 ttl=54 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=250 ttl=54 time=23.7 ms
64 bytes from 8.8.8.8: icmp_seq=251 ttl=54 time=22.7 ms
64 bytes from 8.8.8.8: icmp_seq=252 ttl=54 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=253 ttl=54 time=30.7 ms
64 bytes from 8.8.8.8: icmp_seq=254 ttl=54 time=29.7 ms
64 bytes from 8.8.8.8: icmp_seq=255 ttl=54 time=28.7 ms
64 bytes from 8.8.8.8: icmp_seq=256 ttl=54 time=27.9 ms
64 bytes from 8.8.8.8: icmp_seq=257 ttl=54 time=26.7 ms
64 bytes from 8.8.8.8: icmp_seq=258 ttl=54 time=25.7 ms
64 bytes from 8.8.8.8: icmp_seq=259 ttl=54 time=44.0 ms
64 bytes from 8.8.8.8: icmp_seq=260 ttl=54 time=30.0 ms
64 bytes from 8.8.8.8: icmp_seq=261 ttl=54 time=24.3 ms
64 bytes from 8.8.8.8: icmp_seq=262 ttl=54 time=23.9 ms
64 bytes from 8.8.8.8: icmp_seq=263 ttl=54 time=23.7 ms
64 bytes from 8.8.8.8: icmp_seq=264 ttl=54 time=22.7 ms
64 bytes from 8.8.8.8: icmp_seq=265 ttl=54 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=266 ttl=54 time=20.7 ms
64 bytes from 8.8.8.8: icmp_seq=267 ttl=54 time=29.7 ms
64 bytes from 8.8.8.8: icmp_seq=268 ttl=54 time=28.7 ms
64 bytes from 8.8.8.8: icmp_seq=269 ttl=54 time=27.7 ms
64 bytes from 8.8.8.8: icmp_seq=270 ttl=54 time=26.8 ms
64 bytes from 8.8.8.8: icmp_seq=271 ttl=54 time=25.9 ms
64 bytes from 8.8.8.8: icmp_seq=272 ttl=54 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=273 ttl=54 time=23.7 ms
64 bytes from 8.8.8.8: icmp_seq=274 ttl=54 time=32.7 ms
64 bytes from 8.8.8.8: icmp_seq=275 ttl=54 time=21.8 ms
64 bytes from 8.8.8.8: icmp_seq=276 ttl=54 time=20.7 ms
64 bytes from 8.8.8.8: icmp_seq=277 ttl=54 time=29.9 ms
64 bytes from 8.8.8.8: icmp_seq=278 ttl=54 time=29.7 ms
64 bytes from 8.8.8.8: icmp_seq=279 ttl=54 time=48.6 ms
64 bytes from 8.8.8.8: icmp_seq=280 ttl=54 time=26.4 ms
64 bytes from 8.8.8.8: icmp_seq=281 ttl=54 time=28.0 ms
64 bytes from 8.8.8.8: icmp_seq=282 ttl=54 time=27.9 ms
64 bytes from 8.8.8.8: icmp_seq=283 ttl=54 time=26.7 ms
64 bytes from 8.8.8.8: icmp_seq=284 ttl=54 time=25.7 ms
64 bytes from 8.8.8.8: icmp_seq=285 ttl=54 time=25.5 ms
64 bytes from 8.8.8.8: icmp_seq=286 ttl=54 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=287 ttl=54 time=23.8 ms
64 bytes from 8.8.8.8: icmp_seq=288 ttl=54 time=22.5 ms
64 bytes from 8.8.8.8: icmp_seq=289 ttl=54 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=290 ttl=54 time=20.7 ms
64 bytes from 8.8.8.8: icmp_seq=291 ttl=54 time=29.7 ms
64 bytes from 8.8.8.8: icmp_seq=292 ttl=54 time=28.7 ms
64 bytes from 8.8.8.8: icmp_seq=293 ttl=54 time=27.7 ms
64 bytes from 8.8.8.8: icmp_seq=294 ttl=54 time=26.7 ms
64 bytes from 8.8.8.8: icmp_seq=295 ttl=54 time=25.8 ms
64 bytes from 8.8.8.8: icmp_seq=296 ttl=54 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=297 ttl=54 time=23.7 ms
64 bytes from 8.8.8.8: icmp_seq=298 ttl=54 time=22.7 ms
64 bytes from 8.8.8.8: icmp_seq=299 ttl=54 time=48.9 ms
64 bytes from 8.8.8.8: icmp_seq=300 ttl=54 time=48.5 ms
64 bytes from 8.8.8.8: icmp_seq=301 ttl=54 time=20.9 ms
64 bytes from 8.8.8.8: icmp_seq=302 ttl=54 time=20.7 ms
64 bytes from 8.8.8.8: icmp_seq=303 ttl=54 time=29.7 ms
64 bytes from 8.8.8.8: icmp_seq=304 ttl=54 time=28.7 ms
64 bytes from 8.8.8.8: icmp_seq=305 ttl=54 time=28.7 ms
64 bytes from 8.8.8.8: icmp_seq=306 ttl=54 time=23.9 ms
64 bytes from 8.8.8.8: icmp_seq=307 ttl=54 time=26.7 ms
64 bytes from 8.8.8.8: icmp_seq=308 ttl=54 time=25.6 ms
64 bytes from 8.8.8.8: icmp_seq=309 ttl=54 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=310 ttl=54 time=24.9 ms
64 bytes from 8.8.8.8: icmp_seq=311 ttl=54 time=23.7 ms
64 bytes from 8.8.8.8: icmp_seq=312 ttl=54 time=22.8 ms
64 bytes from 8.8.8.8: icmp_seq=313 ttl=54 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=314 ttl=54 time=20.7 ms
64 bytes from 8.8.8.8: icmp_seq=315 ttl=54 time=20.7 ms
64 bytes from 8.8.8.8: icmp_seq=316 ttl=54 time=29.7 ms
64 bytes from 8.8.8.8: icmp_seq=317 ttl=54 time=29.1 ms
